Green,Green,Green,1.11,1.93, 
Yellow,Yellow,Yellow,1.05,1.93,
Blue,Blue,Blue,1.09,1.98,
Yellow,Yellow,Red,1.08,2.02,
Orange,Orange,Orange,1.11,2.01,
Green,Green,Green,1.08,2.01,
Yellow,Yellow,Orange,1.11,1.93,
Yellow,Yellow,Green,1.15,1.93,
Blue,Green,Blue,1.18,2.05,
Yellow,Yellow,Yellow,1.12,1.99,
Green,Green,Blue,1.48,2.12,
Orange,Orange,Orange,1.51,2.17,
Green,Orange,Green,1.43,2.17,
Green,Green,Green,1.47,2.13,
Green,Green,Green,1.46,2.26,
Orange,Orange,Orange,1.50,2.07,
Red,Red,Yellow,1.50,2.07,
Yellow,Yellow,Yellow,1.52,2.07,
Red,Red,Blue,1.45,2.15,
Yellow,Red,Red,1.48,2.11,
Blue,Blue,Yellow,0.93,1.71,
Blue,Blue,Blue,0.96,1.77,
Blue,Blue,Blue,0.93,1.81,
Yellow,Yellow,Yellow,0.94,1.77,
Red,Red,Red,0.92,1.77,
Yellow,Yellow,Yellow,0.87,1.73,
Yellow,Yellow,Yellow,0.95,1.71,
Red,Red,Red,1.01,1.81,
Red,Red,Red,0.91,1.74,
Yellow,Green,Red,0.95,1.68,
Blue,Blue,Blue,0.70,1.22,
Orange,Orange,Orange,0.77,1.22,
Blue,Blue,Red,0.72,1.08,
Orange,Orange,Orange,0.69,1.19,
Blue,Blue,Yellow,0.62,1.21,
Blue,Blue,Blue,0.67,1.14,
Yellow,Yellow,Yellow,0.76,1.16,
Red,Red,Red,0.71,1.15,
Blue,Blue,Blue,0.62,1.09,
Orange,Orange,Orange,0.72,1.19,
Blue,Blue,Red,0.51,2.10,
Red,Red,Red,0.48,2.11,
Orange,Orange,Orange,0.46,2.05,
Green,Red,Green,0.48,2.08,
Red,Red,Red,0.55,2.08,
Green,Orange,Green,0.53,2.06,
Orange,Orange,Orange,0.48,2.16,
Orange,Orange,Orange,0.52,2.12,
Yellow,Yellow,Yellow,0.48,2.03,
Red,Red,Red,0.49,2.08,
Yellow,Yellow,Yellow,0.53,0.98,
Green,Green,Green,0.49,0.96,
Yellow,Yellow,Yellow,0.56,1.04,
Green,Blue,Green,0.56,1.00,
Blue,Green,Blue,0.57,1.01,
Orange,Orange,Green,0.60,0.96,
Green,Green,Green,0.50,1.09,
Yellow,Red,Yellow,0.51,1.06,
Yellow,Yellow,Yellow,0.61,1.02,
Green,Green,Orange,0.56,1.03,
Green,Green,Green,1.15,1.37,
Green,Green,Green,1.21,1.38,
Orange,Orange,Orange,1.14,1.51,
Blue,Blue,Blue,1.29,1.29,
Red,Red,Red,1.18,1.38,
Blue,Blue,Red,1.15,1.38,
Green,Green,Green,1.15,1.30,
Green,Green,Green,1.17,1.38,
Red,Red,Red,1.19,1.31,
Orange,Orange,Yellow,1.10,1.35,
Orange,Orange,Orange,1.21,1.43,
Orange,Orange,Orange,1.22,1.45,
Green,Green,Green,1.22,1.33,
Orange,Orange,Orange,1.24,1.46,
Orange,Orange,Orange,1.22,1.36,
Orange,Orange,Green,1.09,1.45,
Orange,Orange,Orange,1.17,1.47,
Red,Red,Red,1.16,1.42,
Green,Green,Green,1.20,1.53,
Yellow,Yellow,Yellow,1.27,1.42,
Green,Green,Yellow,1.22,0.92,
Orange,Yellow,Orange,1.42,0.85,
Green,Green,Green,1.34,0.86,
Blue,Yellow,Orange,1.42,0.88,
Orange,Orange,Yellow,1.42,0.90,
Red,Red,Red,1.45,0.91,
Yellow,Yellow,Yellow,1.41,0.92,
Blue,Blue,Blue,1.34,0.80,
Red,Red,Yellow,1.43,0.91,
Blue,Blue,Blue,1.45,0.87,
Green,Green,Red,0.71,1.73,
Orange,Orange,Orange,0.76,1.77,
Blue,Yellow,Blue,0.76,1.76,
Red,Red,Green,0.78,1.77,
Orange,Orange,Green,0.77,1.78,
Red,Red,Green,0.76,1.79,
Green,Green,Blue,0.70,1.79,
Yellow,Green,Yellow,0.75,1.87,
Red,Red,Red,0.70,1.81,
Orange,Orange,Orange,0.78,1.85,
Green,Green,Red,0.80,1.42,
Orange,Blue,Orange,0.88,1.48,
Green,Orange,Green,0.83,1.43,
Blue,Blue,Blue,0.88,1.51,
Blue,Blue,Orange,0.87,1.49,
Blue,Blue,Blue,0.79,1.41,
Orange,Orange,Orange,0.89,1.41,
Orange,Orange,Orange,0.84,1.51,
Blue,Blue,Blue,0.80,1.60,
Yellow,Yellow,Yellow,0.87,1.48,
Orange,Orange,Blue,1.03,1.40,
Orange,Orange,Blue,1.04,1.34,
Blue,Blue,Blue,1.08,1.37,
Green,Green,Green,1.08,1.38,
Red,Red,Red,1.11,1.35,
Red,Red,Red,1.04,1.39,
Orange,Orange,Orange,1.00,1.38,
Blue,Blue,Blue,1.07,1.37,
Orange,Orange,Orange,1.01,1.42,
Red,Red,Green,1.09,1.35,
Red,Red,Red,1.06,2.10,
Red,Blue,Blue,1.12,2.13,
Red,Red,Red,1.00,2.06,
Yellow,Yellow,Yellow,0.95,2.16,
Orange,Orange,Orange,1.02,2.08,
Orange,Orange,Green,1.09,2.02,
Green,Orange,Red,1.10,2.10,
Blue,Blue,Blue,1.08,2.04,
Yellow,Yellow,Yellow,0.96,2.06,
Green,Green,Green,0.93,2.05,
Red,Red,Red,0.94,1.27,
Green,Green,Green,0.98,1.21,
Green,Green,Green,0.93,1.25,
Red,Red,Red,0.92,1.31,
Yellow,Yellow,Orange,0.95,1.17,
Green,Green,Green,0.98,1.29,
Red,Red,Red,1.02,1.33,
Red,Red,Green,0.96,1.32,
Blue,Blue,Blue,0.94,1.30,
Blue,Blue,Yellow,0.98,1.32,
Red,Red,Red,0.73,0.88,
Green,Green,Red,0.73,0.85,
Orange,Orange,Orange,0.65,0.83,
Blue,Yellow,Blue,0.67,0.85,
Red,Red,Red,0.70,0.82,
Blue,Blue,Blue,0.71,0.81,
Yellow,Yellow,Red,0.74,0.84,
Orange,Orange,Yellow,0.73,0.92,
Yellow,Orange,Yellow,0.62,0.86,
Orange,Orange,Orange,0.67,0.94,
Blue,Orange,Red,1.26,2.18,
Blue,Blue,Blue,1.21,2.06,
Red,Red,Green,1.27,2.13,
Red,Red,Red,1.17,2.13,
Red,Red,Red,1.31,2.22,
Green,Green,Green,1.19,2.16,
Orange,Orange,Orange,1.22,2.10,
Green,Green,Green,1.32,2.09,
Red,Red,Red,1.28,1.96,
Red,Red,Blue,1.19,2.15,
Blue,Blue,Blue,0.76,2.01,
Red,Red,Red,0.93,2.05,
Red,Green,Red,0.75,2.05,
Orange,Orange,Red,0.82,1.96,
Green,Green,Green,0.81,2.05,
Red,Red,Orange,0.78,1.92,
Yellow,Yellow,Yellow,0.82,1.97,
Orange,Orange,Orange,0.72,2.01,
Blue,Yellow,Red,0.79,1.91,
Yellow,Yellow,Green,0.78,1.90,
Yellow,Yellow,Yellow,1.30,1.95,
Orange,Red,Orange,1.38,2.02,
Blue,Blue,Blue,1.43,2.04,
Red,Red,Red,1.39,1.97,
Red,Red,Green,1.48,2.05,
Yellow,Yellow,Yellow,1.35,2.04,
Green,Green,Orange,1.43,1.95,
Red,Red,Red,1.41,2.04,
Red,Red,Red,1.29,1.99,
Red,Red,Red,1.52,1.91,
Green,Green,Green,1.63,1.73,
Orange,Red,Orange,1.61,1.85,
Blue,Blue,Blue,1.63,1.78,
Orange,Orange,Orange,1.72,1.83,
Orange,Orange,Orange,1.68,1.78,
Green,Green,Green,1.59,1.81,
Green,Green,Green,1.67,1.70,
Orange,Orange,Orange,1.60,1.77,
Red,Green,Red,1.73,1.81,
Green,Red,Green,1.55,1.73,
Yellow,Yellow,Yellow,1.13,1.96,
Red,Red,Red,1.18,1.97,
Green,Green,Green,1.15,1.98,
Yellow,Yellow,Yellow,1.13,2.06,
Orange,Orange,Green,1.20,2.03,
Red,Red,Red,1.21,2.04,
Orange,Orange,Blue,1.27,2.02,
Blue,Blue,Orange,1.19,2.01,
Orange,Orange,Orange,1.15,2.04,
Blue,Blue,Blue,1.01,2.00,
Orange,Orange,Orange,0.93,2.03,
Yellow,Yellow,Yellow,0.96,2.02,
Green,Green,Green,0.98,2.06,
Blue,Blue,Blue,0.90,2.03,
Orange,Orange,Orange,0.86,2.08,
